Address,City,State,Zip Code,Latitude,Longitude,Number Of Bathrooms,Number of Bedrooms,Price,Price Per Square Foot,Square Feet,Year Built,Sold
3801 SW Pecan Cir,Bentonville,AR,72713,36.312013,-94.3447787,3,4,523525,215,2435,2024,0
5303 SW Tea Olive Ln,Bentonville,AR,72713,36.3350383,-94.2735046,3,4,509425,205,2485,2024,0
1470 Sweetbriar Way,Centerton,AR,72719,36.3487243,-94.3067785,3,4,489950,182,2698,2017,0
1903 SE Clark St,Bentonville,AR,72712,36.3535809,-94.190079,2,3,549900,300,1835,1978,0
5823 W Stoney Brook Rd,Rogers,AR,72758,36.3177856,-94.1970163,2,3,599000,259,2311,1996,0
519 S 14th St,Rogers,AR,72758,36.3265923,-94.1377103,4,5,402200,200,2011,2024,0
3899 Pasofino Loop,Springdale,AR,72764,36.2194559,-94.140201,3,4,589000,185,3185,2005,0
404 NW Saddlebrook Dr,Bentonville,AR,72712,36.3776904,-94.232975,2,4,546900,242,2263,2001,0
2721 W Perry Rd,Rogers,AR,72758,36.3021971,-94.1644741,3,4,3210000,1113,2885,1970,0
9617 Ledge Dr,Springdale,AR,72762,36.239159,-94.2436,4,5,1195000,403,2965,1996,0
4800 S Fieldcrest Ter,Rogers,AR,72758,36.2908079,-94.2265655,2,3,600000,283,2118,2024,0
531 Main St,Centerton,AR,72719,36.3639322,-94.28509,1,4,350000,209,1676,1970,0
10695 Stoney Point Rd,Lowell,AR,72745,36.2762479,-94.0956024,3,3,1200000,335,3580,2023,0
14150 S Mountain Rd,Lowell,AR,72745,36.2816142,-94.0687868,4,6,1150000,240,4785,1998,0
1137 Lexington Cir,Springdale,AR,72762,36.2248657,-94.1446989,4,3,409000,184,2224,2004,0
635 N East St,Rogers,AR,72756,36.3391643,-94.1098256,2,4,264900,170,1555,1978,0
2904 SW Grandshire Ave,Bentonville,AR,72713,36.350343,-94.24386,3,3,399900,195,2047,2024,0
2702 NE Waterfall Ave,Bentonville,AR,72712,36.3723561,-94.2102141,5,5,1350000,278,4850,2024,0
1015 N 12th St,Rogers,AR,72756,36.3444803,-94.1297275,1,3,239900,228,1050,1970,0
6140 W Knoll View Way,Rogers,AR,72758,36.2890103,-94.2031262,4,5,840000,214,3925,2006,0
2802 S 20th Pl,Rogers,AR,72758,36.291588,-94.148976,4,5,639900,209,3055,2022,0
6104 S 67th St,Cave Springs,AR,72718,36.2744475,-94.2102315,3,5,629900,204,3086,2014,0
1363 Shook Dr,Cave Springs,AR,72718,36.2580261,-94.2081499,2,3,399900,202,1982,2016,0
4603 W Mossy Oak Trl,Rogers,AR,72758,36.2698204,-94.1829363,4,4,655000,190,3440,2006,0
1314 S 4th St,Rogers,AR,72756,36.3217222,-94.1208646,1,2,195000,253,772,1980,0
5085 S Strathmore Station Dr,Rogers,AR,72758,36.2911774,-94.2112524,4,4,700000,235,2983,2004,0
2709 Nova Ave,Lowell,AR,72745,36.2639099,-94.1964715,4,4,672900,225,2991,2024,0
2717 Nova Ave,Lowell,AR,72745,36.2636819,-94.1964798,3,4,629900,225,2800,2023,0
2409 W Ash St,Rogers,AR,72758,36.3231703,-94.1536485,2,3,258500,200,1290,1996,0
4302 W Mockingbird Ln,Rogers,AR,72756,36.342838,-94.1783152,2,3,324900,199,1632,1980,0
14095 Pleasant Ridge Rd,Rogers,AR,72756,36.318488,-94.071477,2,2,580000,297,1952,2002,0
1326 Park St,Lowell,AR,72745,36.2773085,-94.1359234,3,4,418000,223,1874,2021,0
1607 W Mimosa St,Rogers,AR,72758,36.3174068,-94.1421303,3,2,324900,160,2031,1987,0
206 NW 5th St,Bentonville,AR,72712,36.3777762,-94.210772,5,4,1750000,547,3200,1918,0
1211 NE Waverly Way,Bentonville,AR,72712,36.3872028,-94.2005883,5,5,1400000,319,4384,2010,0
691 Saint Charles Pl,Centerton,AR,72719,36.3497206,-94.2712325,2,3,236900,215,1100,2023,0
661 Saint Charles Pl,Centerton,AR,72719,36.3502571,-94.27121,3,2,234900,214,1100,2023,0
6101 W Murfield Dr,Rogers,AR,72758,36.2734284,-94.2007046,3,3,565000,236,2392,2018,0
6101 W Star Light Dr,Rogers,AR,72758,36.269624,-94.201189,3,4,640000,229,2800,2023,0
607 W Gillian Ave,Rogers,AR,72758,36.2882805,-94.1261502,2,3,345000,218,1582,2011,0
10994 Murdock Rd,Bentonville,AR,72713,36.2743418,-94.2420271,2,4,345000,174,1978,1982,0
812 SE H St,Bentonville,AR,72712,36.3627032,-94.1998888,1,2,500000,427,1171,1980,0
6301 S 26th St,Rogers,AR,72758,36.2704806,-94.1590947,3,4,615000,217,2828,2006,0
755 Lyon Loop,Springdale,AR,72764,36.2369662,-94.1170981,4,3,459000,201,2280,2022,0
13924 La Faye Dr,Rogers,AR,72758,36.2859453,-94.0751153,4,5,580000,104,5583,1996,0
4801 Augustine Dr,Springdale,AR,72762,36.22366,-94.2131906,3,4,420000,195,2153,2010,0
2713 SE 5th St,Bentonville,AR,72712,36.3680743,-94.177255,3,3,475000,229,2078,1995,0
451 Halleck Coach Rd,Centerton,AR,72719,36.3637039,-94.2777498,3,4,442500,189,2340,2005,0
23 S Fiddlesticks Trl,Rogers,AR,72758,36.2939704,-94.2033464,6,5,1950000,333,5859,2000,0
1515 Park St,Lowell,AR,72745,36.2801189,-94.1353638,3,4,449000,218,2058,2020,0
514 Hook St,Bentonville,AR,72712,36.3777508,-94.2151403,3,2,1500000,709,2115,2022,0
2205 Douglas St,Bentonville,AR,72712,36.3607079,-94.1855972,2,3,550000,387,1421,1981,0
102 SE 11th St,Bentonville,AR,72712,36.359515,-94.2088554,2,4,465000,206,2256,2002,0
2010 Larry Ln,Bentonville,AR,72713,36.312013,-94.3447787,3,4,439950,205,2149,2024,0
10048 Phillips Cemetery Rd,Bentonville,AR,72713,36.2821336,-94.2519484,2,3,435000,302,1440,2010,0
1924 Florence Ave,Lowell,AR,72745,36.2530472,-94.17938,2,4,397500,214,1857,2013,0
1313 Park St,Lowell,AR,72745,36.2766468,-94.1354194,4,4,490140,211,2325,2024,0
1240 Whistler St,Centerton,AR,72713,36.340851,-94.294509,3,4,451675,203,2225,2023,0
101 Barbie Ln,Rogers,AR,72756,36.3335129,-94.1256953,4,3,686000,202,3392,1979,0
701 E Pleasant Vw,Rogers,AR,72756,36.3411973,-94.1059899,4,4,499900,162,3079,1978,0
924 Woodley Green Ln,Cave Springs,AR,72718,36.2521362,-94.2264873,3,4,549950,196,2800,2005,0
201 Gleneagle Dr,Cave Springs,AR,72718,36.2621157,-94.2217622,5,5,1150000,282,4085,2017,0
2510 SE 3rd St,Bentonville,AR,72712,36.3695717,-94.1821561,2,3,495500,359,1381,1995,0
3103 S G St,Rogers,AR,72758,36.2954068,-94.1082473,2,3,299900,201,1490,2006,0
561 Red Bud St,Centerton,AR,72719,36.3518673,-94.292182,2,3,281000,190,1477,2006,0
2607 S 15th Pl,Rogers,AR,72758,36.2917286,-94.1414204,5,6,737000,197,3740,2005,0
5301 SW Nandina Ln,Bentonville,AR,72713,36.3333633,-94.2730387,2,3,484149,213,2273,2024,0
3004 N 15th Pl,Rogers,AR,72756,36.3610101,-94.1398212,2,4,365000,200,1825,2016,0
910 Tennesee Ave,Centerton,AR,72719,36.3489359,-94.2699409,3,3,258900,207,1250,2023,0
890 Tennesee Ave,Centerton,AR,72719,36.3489359,-94.2699409,3,3,258900,207,1250,2023,0
900 Tennesee Ave,Centerton,AR,72719,36.3489359,-94.2699409,3,3,258900,207,1250,2023,0
4405 SW Bermuda Ave,Bentonville,AR,72713,36.3356145,-94.2622396,3,4,445000,187,2376,2006,0
4028 W Sommerset St,Rogers,AR,72758,36.2795788,-94.1995528,3,3,417600,285,1465,2024,0
406 E Laurel Ave,Rogers,AR,72758,36.2897499,-94.1123029,2,4,305000,203,1499,2014,0
608 N Main St,Bentonville,AR,72712,36.3793782,-94.2084501,1,3,749900,551,1361,1940,0
510 Ashwood St,Lowell,AR,72745,36.2635099,-94.187867,2,3,359000,211,1703,2022,0
